train_acc,train_loss,val_acc,val_loss
0.02463157894736842,4.3899846,0.03440000000000001,4.2116933
0.04052631578947368,4.170652,0.0596,4.060599
0.060189473684210536,4.0395126,0.07640000000000001,3.9758103
0.07960000000000002,3.9381213,0.09879999999999999,3.8344467
0.09930526315789476,3.8251588,0.1148,3.7237873
0.1141263157894737,3.724445,0.12279999999999999,3.6386685
0.12960000000000002,3.626249,0.146,3.563273
0.14637894736842105,3.5449061,0.166,3.4445198
0.1588842105263158,3.4581416,0.16800000000000004,3.40752
0.17326315789473687,3.38466,0.17680000000000004,3.3669674
0.1885263157894737,3.3163738,0.1888,3.2543237
0.20132631578947371,3.2356966,0.19880000000000003,3.2205396
0.21082105263157894,3.1725736,0.2244,3.0971134
0.22490526315789475,3.10681,0.20000000000000004,3.253125
0.2368,3.0427306,0.23640000000000005,3.058246
0.2471578947368421,2.9813976,0.2416,2.9782708
0.2577052631578947,2.917905,0.24,3.0014243
0.27231578947368423,2.8590643,0.262,2.8305693
0.2779578947368422,2.803989,0.2756,2.8036618
0.2868421052631579,2.7561476,0.2864,2.782329
0.2978105263157895,2.711683,0.28119999999999995,2.76319
0.3094105263157895,2.66568,0.2888,2.7905526
0.3150947368421053,2.614887,0.28240000000000004,2.7504783
0.3252421052631579,2.5726922,0.2964,2.735248
0.3332631578947368,2.5430038,0.3212,2.5995607
0.3391157894736842,2.5017788,0.3032,2.7150915
0.34505263157894733,2.4793499,0.3272,2.5238144
0.354778947368421,2.4411688,0.34,2.460376
0.3593052631578947,2.4012458,0.33840000000000003,2.504626
0.36928421052631577,2.3687906,0.3444,2.438732
0.37105263157894736,2.3394387,0.35200000000000004,2.3996596
0.3793263157894737,2.314413,0.3416,2.5262144
0.38621052631578945,2.2869208,0.3528,2.4169898
0.3937894736842105,2.2666879,0.3600000000000001,2.406182
0.3960421052631579,2.2309632,0.34480000000000005,2.4177852
0.4006736842105263,2.2221913,0.36519999999999997,2.3876612
0.40406315789473685,2.1965938,0.3712,2.329256
0.4117473684210526,2.1699712,0.3848,2.3184977
0.41625263157894743,2.148446,0.39160000000000006,2.2426267
0.4209894736842106,2.1269329,0.37200000000000005,2.3145487
0.4267368421052632,2.1021016,0.3932,2.2429233
0.4311157894736843,2.0804386,0.40840000000000004,2.2253351
0.4319368421052632,2.0752745,0.39,2.224099
0.4353684210526316,2.05063,0.3832,2.327303
0.4418315789473684,2.030623,0.384,2.3221264
0.44690526315789475,2.013679,0.4072,2.186848
0.4529263157894737,1.991918,0.40880000000000005,2.1876154
0.45526315789473687,1.9775068,0.40840000000000004,2.2202728
0.45797894736842104,1.9580708,0.4008,2.2007523
0.4645473684210527,1.938768,0.4228,2.1672857
0.4619368421052632,1.9263494,0.4108,2.1958659
0.47008421052631577,1.9099861,0.42160000000000003,2.1585581
0.4758105263157895,1.8936052,0.4212,2.1147509
0.47749473684210525,1.8800154,0.4384,2.1030037
0.4808421052631579,1.8659599,0.426,2.148881
0.48265263157894733,1.8574036,0.42760000000000004,2.12585
0.48528421052631576,1.8386117,0.4388,2.073334
0.4884631578947368,1.8228543,0.426,2.0708864
0.4930736842105263,1.8108844,0.44520000000000004,2.0683794
0.49532631578947367,1.8016684,0.4464,2.07203
0.5009263157894737,1.7796463,0.43800000000000006,2.0638878
0.5015368421052632,1.7673533,0.44439999999999996,2.0596957
0.504821052631579,1.7686708,0.4264,2.0933888
0.5102526315789474,1.7492526,0.44760000000000005,2.0356436
0.5113684210526316,1.737836,0.44920000000000004,2.059203
0.513978947368421,1.7182515,0.4536,2.0317295
0.5179157894736842,1.7098609,0.4612,2.0080302
0.5193052631578948,1.705302,0.44920000000000004,2.0317266
0.5221894736842105,1.6867229,0.4568,2.0144804
0.5247789473684211,1.6804336,0.4524,1.9963336
0.5257894736842105,1.6719161,0.45319999999999994,2.0040479
0.5303578947368421,1.6601713,0.4544,2.0313923
0.5306105263157894,1.653271,0.45640000000000003,1.9666404
0.534821052631579,1.6346456,0.45,2.0288165
0.5329684210526315,1.6376387,0.4592,2.0027807
0.536421052631579,1.6292179,0.46159999999999995,1.9838256
0.5383578947368421,1.6187606,0.474,1.9801341
0.5419578947368421,1.6095716,0.4572,1.985385
0.5428210526315789,1.6027242,0.46879999999999994,1.9747255
0.5454315789473684,1.5943719,0.46399999999999997,1.9717593
0.5484210526315789,1.5917451,0.4632,1.9757291
0.5485473684210526,1.5849874,0.46520000000000006,1.9728866
0.5473473684210527,1.5791062,0.462,1.9662917
0.5519157894736841,1.5681355,0.47,1.9668022
0.5494947368421053,1.5684139,0.4636,1.9616569
0.5561894736842105,1.5581903,0.46760000000000007,1.9696016
0.5546315789473685,1.5633452,0.46880000000000005,1.9666231
0.5563157894736843,1.5552536,0.46440000000000003,1.9714493
0.5576631578947369,1.5491812,0.46519999999999995,1.9656229
0.5576421052631579,1.5479825,0.46840000000000004,1.966386
0.5575789473684211,1.5468845,0.46879999999999994,1.9680486
0.5613052631578948,1.5347,0.46720000000000006,1.9715992
0.5602315789473684,1.5384417,0.4664,1.9772224
0.5602947368421053,1.5381024,0.47159999999999996,1.9628382
0.5604,1.5341802,0.46959999999999996,1.9643232
0.5603368421052631,1.5340948,0.47,1.9644972
0.5611789473684211,1.5299834,0.4704,1.9718316
0.5622105263157895,1.5304197,0.47559999999999997,1.9580371
0.5629263157894736,1.5245895,0.46559999999999996,1.9743586
0.563621052631579,1.526315,0.4732,1.9681118
